x,direcao_descida,erro,f(min),x_anterior
[-0.62131228  0.88748719],[-0.28994904  0.4680063 ],0.0005505454947903752,-1.051921436527792,[-0.62131228  0.88748719]
[-0.621602    0.88795484],[-0.28972526  0.46765018],0.0005501249125401405,-1.0522239583491855,[-0.621602    0.88795484]
[-0.62189151  0.88842213],[-0.28950166  0.46729433],0.0005497046516142843,-1.0525260181317462,[-0.62189151  0.88842213]
[-0.62218078  0.88888907],[-0.28927824  0.46693875],0.0005492847117672985,-1.0528276165811716,[-0.62218078  0.88888907]
[-0.62246984  0.88935565],[-0.28905501  0.46658343],0.000548865092753475,-1.0531287544020782,[-0.62246984  0.88935565]
[-0.62275867  0.88982188],[-0.28883195  0.46622837],0.0005484457943275312,-1.053429432298008,[-0.62275867  0.88982188]
[-0.62304728  0.89028776],[-0.28860908  0.46587358],0.0005480268162441958,-1.053729650971428,[-0.62304728  0.89028776]
[-0.62333567  0.89075328],[-0.28838639  0.46551905],0.0005476081582585863,-1.0540294111237303,[-0.62333567  0.89075328]
[-0.62362383  0.89121844],[-0.28816389  0.46516478],0.0005471898201259985,-1.0543287134552375,[-0.62362383  0.89121844]
[-0.62391177  0.89168325],[-0.28794156  0.46481078],0.0005467718016015861,-1.0546275586652012,[-0.62391177  0.89168325]
[-0.62419949  0.89214771],[-0.28771942  0.46445704],0.0005463541024410453,-1.054925947451805,[-0.62419949  0.89214771]
[-0.62448699  0.89261181],[-0.28749745  0.46410357],0.0005459367224001326,-1.0552238805121656,[-0.62448699  0.89261181]
[-0.62477426  0.89307556],[-0.28727567  0.46375035],0.0005455196612349441,-1.055521358542335,[-0.62477426  0.89307556]
[-0.62506132  0.89353896],[-0.28705407  0.4633974 ],0.000545102918701484,-1.055818382237302,[-0.62506132  0.89353896]
[-0.62534815  0.894002  ],[-0.28683265  0.46304472],0.0005446864945560508,-1.0561149522909927,[-0.62534815  0.894002  ]
[-0.62563476  0.8944647 ],[-0.2866114   0.46269229],0.0005442703885552961,-1.0564110693962738,[-0.62563476  0.8944647 ]
[-0.62592115  0.89492704],[-0.28639034  0.46234013],0.0005438546004559904,-1.0567067342449543,[-0.62592115  0.89492704]
[-0.62620732  0.89538902],[-0.28616946  0.46198823],0.0005434391300148796,-1.0570019475277843,[-0.62620732  0.89538902]
[-0.62649327  0.89585066],[-0.28594876  0.46163659],0.0005430239769891701,-1.0572967099344606,[-0.62649327  0.89585066]
[-0.626779    0.89631195],[-0.28572824  0.46128522],0.0005426091411359989,-1.0575910221536249,[-0.626779    0.89631195]
[-0.62706451  0.89677288],[-0.2855079   0.46093411],0.0005421946222130311,-1.0578848848728684,[-0.62706451  0.89677288]
[-0.62734979  0.89723346],[-0.28528773  0.46058325],0.0005417804199778388,-1.0581782987787294,[-0.62734979  0.89723346]
[-0.62763486  0.8976937 ],[-0.28506775  0.46023266],0.0005413665341881951,-1.0584712645567003,[-0.62763486  0.8976937 ]
[-0.62791971  0.89815358],[-0.28484794  0.45988233],0.0005409529646021666,-1.0587637828912244,[-0.62791971  0.89815358]
[-0.62820434  0.89861311],[-0.28462832  0.45953226],0.000540539710978092,-1.0590558544656998,[-0.62820434  0.89861311]
[-0.62848875  0.89907229],[-0.28440887  0.45918246],0.000540126773074204,-1.0593474799624807,[-0.62848875  0.89907229]
[-0.62877294  0.89953113],[-0.2841896   0.45883291],0.000539714150649241,-1.0596386600628784,[-0.62877294  0.89953113]
[-0.62905691  0.89998961],[-0.2839705   0.45848362],0.0005393018434619657,-1.0599293954471647,[-0.62905691  0.89998961]
[-0.62934066  0.90044774],[-0.28375159  0.4581346 ],0.0005388898512711653,-1.0602196867945706,[-0.62934066  0.90044774]
[-0.62962419  0.90090553],[-0.28353285  0.45778583],0.000538478173836191,-1.0605095347832898,[-0.62962419  0.90090553]
[-0.62990751  0.90136297],[-0.28331429  0.45743732],0.0005380668109162653,-1.0607989400904816,[-0.62990751  0.90136297]
[-0.6301906   0.90182006],[-0.28309591  0.45708908],0.0005376557622709995,-1.061087903392268,[-0.6301906   0.90182006]
[-0.63047348  0.9022768 ],[-0.2828777   0.45674109],0.0005372450276600877,-1.0613764253637408,[-0.63047348  0.9022768 ]
[-0.63075614  0.90273319],[-0.28265968  0.45639336],0.000536834606843329,-1.0616645066789587,[-0.63075614  0.90273319]
[-0.63103858  0.90318924],[-0.28244182  0.4560459 ],0.0005364244995808889,-1.0619521480109513,[-0.63103858  0.90318924]
[-0.63132081  0.90364494],[-0.28222415  0.45569869],0.000536014705633015,-1.0622393500317204,[-0.63132081  0.90364494]
[-0.63160281  0.90410029],[-0.28200665  0.45535174],0.0005356052247602139,-1.0625261134122401,[-0.63160281  0.90410029]
[-0.6318846   0.90455529],[-0.28178933  0.45500505],0.0005351960567230157,-1.062812438822461,[-0.6318846   0.90455529]
[-0.63216617  0.90500995],[-0.28157218  0.45465862],0.0005347872012822447,-1.063098326931309,[-0.63216617  0.90500995]
[-0.63244753  0.90546426],[-0.28135521  0.45431244],0.0005343786581990327,-1.0633837784066889,[-0.63244753  0.90546426]
[-0.63272867  0.90591823],[-0.28113841  0.45396653],0.0005339704272344279,-1.0636687939154847,[-0.63272867  0.90591823]
[-0.63300959  0.90637185],[-0.28092179  0.45362087],0.0005335625081499027,-1.063953374123562,[-0.63300959  0.90637185]
[-0.63329029  0.90682513],[-0.28070535  0.45327548],0.0005331549007069178,-1.064237519695769,[-0.63329029  0.90682513]
[-0.63357078  0.90727806],[-0.28048908  0.45293034],0.0005327476046672995,-1.064521231295938,[-0.63357078  0.90727806]
[-0.63385106  0.90773064],[-0.28027298  0.45258545],0.0005323406197929435,-1.064804509586888,[-0.63385106  0.90773064]
[-0.63413111  0.90818288],[-0.28005706  0.45224083],0.0005319339458459941,-1.0650873552304247,[-0.63413111  0.90818288]
[-0.63441096  0.90863478],[-0.27984131  0.45189646],0.0005315275825887011,-1.065369768887343,[-0.63441096  0.90863478]
[-0.63469058  0.90908633],[-0.27962574  0.45155235],0.0005311215297834547,-1.065651751217429,[-0.63469058  0.90908633]
[-0.63496999  0.90953754],[-0.27941034  0.4512085 ],0.0005307157871932001,-1.0659333028794598,[-0.63496999  0.90953754]
[-0.63524919  0.90998841],[-0.27919512  0.4508649 ],0.0005303103545804342,-1.066214424531207,[-0.63524919  0.90998841]
[-0.63552817  0.91043893],[-0.27898007  0.45052156],0.000529905231708348,-1.066495116829437,[-0.63552817  0.91043893]
[-0.63580693  0.91088911],[-0.27876519  0.45017848],0.0005295004183401339,-1.0667753804299127,[-0.63580693  0.91088911]
[-0.63608548  0.91133894],[-0.27855049  0.44983565],0.0005290959142392064,-1.0670552159873963,[-0.63608548  0.91133894]
[-0.63636382  0.91178843],[-0.27833595  0.44949308],0.000528691719169134,-1.0673346241556487,[-0.63636382  0.91178843]
[-0.63664194  0.91223759],[-0.2781216   0.44915077],0.0005282878328936263,-1.0676136055874323,[-0.63664194  0.91223759]
[-0.63691985  0.91268639],[-0.27790741  0.44880871],0.0005278842551766279,-1.067892160934513,[-0.63691985  0.91268639]
[-0.63719754  0.91313486],[-0.2776934   0.44846691],0.000527480985782319,-1.06817029084766,[-0.63719754  0.91313486]
[-0.63747502  0.91358299],[-0.27747956  0.44812536],0.0005270780244749979,-1.0684479959766495,[-0.63747502  0.91358299]
