xk,beta_k1,pk1,erro,f(min),gk1,pk,xk1,gk
[-0.33852689  0.06585686],0.9650097889437522,[-4.76902582 -2.27005219],0.05134257336366723,-0.20555183827188458,[0.12537564 0.54243555],[-4.76902582 -2.27005219],[-0.33852689  0.06585686],[0.12537564 0.54243555]
[-0.38621715  0.04315634],0.8502525077011746,[-4.15297285 -2.43401971],0.052817368542838555,-0.22275677054253856,[0.09809669 0.50390215],[-4.15297285 -2.43401971],[-0.38621715  0.04315634],[0.09809669 0.50390215]
[-0.42774688  0.01881614],0.7433791174145835,[-3.17529111 -2.24316918],0.04813692495208723,-0.2380338030787677,[0.08805782 0.43376975],[-3.17529111 -2.24316918],[-0.42774688  0.01881614],[0.08805782 0.43376975]
[-0.45949979 -0.00361555],0.6668280333894508,[-2.2092202  -1.84538305],0.038877090445843525,-0.24967592869354385,[0.09184707 0.34957495],[-2.2092202  -1.84538305],[-0.45949979 -0.00361555],[0.09184707 0.34957495]
[-0.48159199 -0.02206938],0.6319455344780659,[-1.499131   -1.43440249],0.02878557362507886,-0.25752884617369565,[0.10302416 0.26822092],[-1.499131   -1.43440249],[-0.48159199 -0.02206938],[0.10302416 0.26822092]
[-0.4965833  -0.03641341],0.6401992383313515,[-1.07581614 -1.11674603],0.020748263235285846,-0.2625180444223599,[0.11607362 0.19844265],[-1.07581614 -1.11674603],[-0.4965833  -0.03641341],[0.11607362 0.19844265]
[-0.50734147 -0.04758087],0.6884596961111306,[-0.86871573 -0.91021208],0.015506456938412684,-0.2657287208137641,[0.12805967 0.14137745],[-0.86871573 -0.91021208],[-0.50734147 -0.04758087],[0.12805967 0.14137745]
[-0.51602862 -0.05668299],0.7693718871072852,[-0.80635718 -0.79491354],0.012582341001836405,-0.26795838351997814,[0.13799172 0.09462195],[-0.80635718 -0.79491354],[-0.51602862 -0.05668299],[0.13799172 0.09462195]
[-0.52409219 -0.06463212],0.8673391515602881,[-0.84509714 -0.74467922],0.01132298301225009,-0.2696977714795153,[0.14571198 0.05521959],[-0.84509714 -0.74467922],[-0.52409219 -0.06463212],[0.14571198 0.05521959]
[-0.53254317 -0.07207892],0.9590706414843826,[-0.96165827 -0.73519814],0.011263819598963073,-0.27123594819296953,[0.15115042 0.02099816],[-0.96165827 -0.73519814],[-0.53254317 -0.07207892],[0.15115042 0.02099816]
[-0.54215975 -0.0794309 ],1.021505113390687,[-1.13631204 -0.74204072],0.012104969829646506,-0.2727472944324963,[ 0.1539732  -0.00896794],[-1.13631204 -0.74204072],[-0.54215975 -0.0794309 ],[ 0.1539732  -0.00896794]
[-0.55352287 -0.08685131],1.0398977602249941,[-1.33515653 -0.73740465],0.013571401881801823,-0.27433395131419813,[ 0.15350818 -0.03424184],[-1.33515653 -0.73740465],[-0.55352287 -0.08685131],[ 0.15350818 -0.03424184]
[-0.56687443 -0.09422535],1.010918890435502,[-1.49866214 -0.69227678],0.01525256884630952,-0.2760306195288495,[ 0.14892719 -0.05317951],[-1.49866214 -0.69227678],[-0.56687443 -0.09422535],[ 0.14892719 -0.05317951]
[-0.58186106 -0.10114812],0.9424220319684019,[-1.55209447 -0.5888151 ],0.01650828685245037,-0.2777893345107715,[ 0.13972225 -0.06360179],[-1.55209447 -0.5888151 ],[-0.58186106 -0.10114812],[ 0.13972225 -0.06360179]
[-0.597382   -0.10703627],0.8519142883414561,[-1.44859627 -0.43747583],0.016600302571081877,-0.27947804683090816,[ 0.12634481 -0.06414416],[-1.44859627 -0.43747583],[-0.597382   -0.10703627],[ 0.12634481 -0.06414416]
[-0.61186796 -0.11141103],0.7625640584231476,[-1.21514461 -0.277919  ],0.015132138782312362,-0.28093137843609256,[ 0.11049716 -0.05568434],[-1.21514461 -0.277919  ],[-0.61186796 -0.11141103],[ 0.11049716 -0.05568434]
