x,direcao_descida,erro,f(min),x_anterior
[-0.40714139 -0.01564673],[-0.23283412 -0.0963224 ],0.0002519716843628811,-0.24386256185145022,[-0.40714139 -0.01564673]
[-0.40737405 -0.01574298],[-0.23265741 -0.09625032],0.00025178085084448445,-0.24392593144238497,[-0.40737405 -0.01574298]
[-0.40760653 -0.01583916],[-0.23248085 -0.09617829],0.00025159016186303675,-0.24398920508236344,[-0.40760653 -0.01583916]
[-0.40783883 -0.01593527],[-0.23230442 -0.09610631],0.0002513996173088649,-0.24405238291667294,[-0.40783883 -0.01593527]
[-0.40807096 -0.0160313 ],[-0.23212813 -0.09603437],0.0002512092170724837,-0.244115465090381,[-0.40807096 -0.0160313 ]
[-0.40830291 -0.01612726],[-0.23195198 -0.09596248],0.00025101896104449695,-0.24417845174833525,[-0.40830291 -0.01612726]
[-0.40853469 -0.01622315],[-0.23177596 -0.09589064],0.0002508288491154964,-0.24424134303516387,[-0.40853469 -0.01622315]
[-0.40876629 -0.01631897],[-0.23160008 -0.09581884],0.00025063888117626967,-0.24430413909527612,[-0.40876629 -0.01631897]
[-0.40899771 -0.01641472],[-0.23142434 -0.09574709],0.000250449057117651,-0.2443668400728625,[-0.40899771 -0.01641472]
[-0.40922896 -0.01651039],[-0.23124873 -0.09567538],0.00025025937683057067,-0.24442944611189518,[-0.40922896 -0.01651039]
[-0.40946003 -0.016606  ],[-0.23107326 -0.09560373],0.0002500698402059598,-0.24449195735612814,[-0.40946003 -0.016606  ]
[-0.40969093 -0.01670153],[-0.23089793 -0.09553212],0.00024988044713495684,-0.24455437394909774,[-0.40969093 -0.01670153]
[-0.40992165 -0.01679699],[-0.23072273 -0.09546055],0.00024969119750875015,-0.2446166960341229,[-0.40992165 -0.01679699]
[-0.4101522  -0.01689238],[-0.23054766 -0.09538904],0.0002495020912184893,-0.24467892375430544,[-0.4101522  -0.01689238]
[-0.41038257 -0.0169877 ],[-0.23037273 -0.09531757],0.0002493131281556352,-0.24474105725253048,[-0.41038257 -0.0169877 ]
[-0.41061277 -0.01708294],[-0.23019794 -0.09524615],0.0002491243082115078,-0.24480309667146688,[-0.41061277 -0.01708294]
[-0.4108428  -0.01717812],[-0.23002328 -0.09517477],0.0002489356312776947,-0.24486504215356725,[-0.4108428  -0.01717812]
[-0.41107264 -0.01727322],[-0.22984876 -0.09510344],0.00024874709724575036,-0.24492689384106842,[-0.41107264 -0.01727322]
[-0.41130232 -0.01736825],[-0.22967438 -0.09503216],0.00024855870600729577,-0.24498865187599186,[-0.41130232 -0.01736825]
[-0.41153182 -0.01746321],[-0.22950012 -0.09496093],0.00024837045745417907,-0.24505031640014407,[-0.41153182 -0.01746321]
[-0.41176115 -0.0175581 ],[-0.22932601 -0.09488974],0.0002481823514781677,-0.24511188755511654,[-0.41176115 -0.0175581 ]
[-0.4119903  -0.01765292],[-0.22915202 -0.0948186 ],0.0002479943879712061,-0.24517336548228658,[-0.4119903  -0.01765292]
[-0.41221928 -0.01774767],[-0.22897817 -0.09474751],0.00024780656682536973,-0.24523475032281716,[-0.41221928 -0.01774767]
[-0.41244808 -0.01784235],[-0.22880446 -0.09467646],0.00024761888793261016,-0.24529604221765758,[-0.41244808 -0.01784235]
[-0.41267671 -0.01793695],[-0.22863088 -0.09460546],0.0002474313511852136,-0.24535724130754363,[-0.41267671 -0.01793695]
[-0.41290517 -0.01803149],[-0.22845744 -0.09453451],0.00024724395647540134,-0.24541834773299798,[-0.41290517 -0.01803149]
[-0.41313345 -0.01812595],[-0.22828412 -0.09446361],0.00024705670369553105,-0.2454793616343306,[-0.41313345 -0.01812595]
[-0.41336156 -0.01822034],[-0.22811095 -0.09439275],0.0002468695927379992,-0.24554028315163867,[-0.41336156 -0.01822034]
[-0.4135895  -0.01831467],[-0.2279379  -0.09432194],0.00024668262349529117,-0.24560111242480748,[-0.4135895  -0.01831467]
[-0.41381727 -0.01840892],[-0.22776499 -0.09425118],0.0002464957958600392,-0.24566184959351028,[-0.41381727 -0.01840892]
