xk,yk,erro,rho_k,direcao_descida_1,direcao_descida_2,f(min),Hk1,sk,Hk,direcao_descida_1_1,xk1
[1.15183134 2.15780156],[0.01248332 0.02797818],0.03873535104087545,844.606138743364,[-0.12483324 -0.27978182],[0.18150199 0.34219844],-3.1074674758173195,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.0181502  0.03421984],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.11234992 -0.25180364],[1.16998154 2.19202141]
[1.16998154 2.19202141],[0.01123499 0.02518036],0.03486181593678742,1042.7236280782865,[-0.11234992 -0.25180364],[0.16335179 0.30797859],-3.118715322078694,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.01633518 0.03079786],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.10111492 -0.22662327],[1.18631672 2.22281927]
[1.18631672 2.22281927],[0.01011149 0.02266233],0.031375634343109825,1287.3131210841718,[-0.10111492 -0.22662327],[0.14701661 0.27718073],-3.1278260775504094,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.01470166 0.02771807],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.09100343 -0.20396094],[1.20101838 2.25053734]
[1.20101838 2.25053734],[0.00910034 0.02039609],0.02823807090879809,1589.2754581287154,[-0.09100343 -0.20396094],[0.13231495 0.24946266],-3.1352057894824936,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.01323149 0.02494627],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.08190309 -0.18356485],[1.21424988 2.27548361]
[1.21424988 2.27548361],[0.00819031 0.01835649],0.025414263817918385,1962.068466825644,[-0.08190309 -0.18356485],[0.11908345 0.22451639],-3.1411833561474864,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.01190835 0.02245164],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.07371278 -0.16520837],[1.22615822 2.29793524]
[1.22615822 2.29793524],[0.00737128 0.01652084],0.02287283743612803,2422.3067491669904,[-0.07371278 -0.16520837],[0.10717511 0.20206476],-3.146025185146134,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.01071751 0.02020648],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.0663415  -0.14868753],[1.23687574 2.31814172]
[1.23687574 2.31814172],[0.00663415 0.01486875],0.02058555369251359,2990.5021594659493,[-0.0663415  -0.14868753],[0.0964576  0.18185828],-3.1499470666350335,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.00964576 0.01818583],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.05970735 -0.13381878],[1.24652149 2.33632755]
[1.24652149 2.33632755],[0.00597074 0.01338188],0.018526998323262628,3691.9779746492836,[-0.05970735 -0.13381878],[0.08681184 0.16367245],-3.1531237906410503,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.00868118 0.01636725],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.05373662 -0.1204369 ],[1.25520268 2.35269479]
[1.25520268 2.35269479],[0.00537366 0.01204369],0.016674298490937014,4557.997499566531,[-0.05373662 -0.1204369 ],[0.07813065 0.14730521],-3.1556969370859136,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.00781307 0.01473052],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.04836295 -0.10839321],[1.26301574 2.36742531]
[1.26301574 2.36742531],[0.0048363  0.01083932],0.015006868641842776,5627.157406872474,[-0.04836295 -0.10839321],[0.07031759 0.13257469],-3.1577811857062583,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.00703176 0.01325747],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.04352666 -0.09755389],[1.2700475  2.38068278]
[1.2700475  2.38068278],[0.00435267 0.00975539],0.013506181777658171,6947.107909719658,[-0.04352666 -0.09755389],[0.06328583 0.11931722],-3.1594694270887365,"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[0.00632858 0.01193172],"[[0.33486708 0.49931567]
 [0.49931567 1.00030533]]",[-0.03917399 -0.0877985 ],[1.27637609 2.3926145 ]
