x,direcao_descida,erro,f(min),x_anterior
[0.18366992 0.35137162],[0.90486162 1.69789546],0.0019239603838626035,-0.8242996809917462,[0.18366992 0.35137162]
[0.18457411 0.35306815],[0.90419065 1.69653305],0.0019224424918089526,-0.8279940082488125,[0.18457411 0.35306815]
[0.18547763 0.35476333],[0.90351956 1.69517206],0.0019209257997063018,-0.8316825086012669,[0.18547763 0.35476333]
[0.18638048 0.35645714],[0.90284836 1.69381249],0.0019194103065347027,-0.8353651912485968,[0.18638048 0.35645714]
[0.18728266 0.35814959],[0.90217706 1.69245433],0.0019178960112772464,-0.8390420653754943,[0.18728266 0.35814959]
[0.18818416 0.35984069],[0.90150566 1.69109758],0.001916382912919842,-0.8427131401518895,[0.18818416 0.35984069]
[0.189085   0.36153043],[0.90083418 1.68974222],0.0019148710104513343,-0.8463784247329814,[0.189085   0.36153043]
[0.18998516 0.36321882],[0.90016262 1.68838826],0.0019133603028632263,-0.8500379282592688,[0.18998516 0.36321882]
[0.19088465 0.36490586],[0.899491   1.68703568],0.00191185078914981,-0.8536916598565826,[0.19088465 0.36490586]
[0.19178347 0.36659154],[0.89881932 1.68568448],0.0019103424683079464,-0.8573396286361155,[0.19178347 0.36659154]
[0.19268162 0.36827588],[0.89814759 1.68433466],0.0019088353393372302,-0.8609818436944529,[0.19268162 0.36827588]
[0.19357909 0.36995886],[0.89747583 1.68298621],0.0019073294012396306,-0.864618314113603,[0.19357909 0.36995886]
[0.1944759 0.3716405],[0.89680404 1.68163912],0.0019058246530196696,-0.8682490489610267,[0.1944759 0.3716405]
[0.19537203 0.37332079],[0.89613222 1.68029339],0.001904321093684351,-0.8718740572896675,[0.19537203 0.37332079]
[0.19626749 0.37499974],[0.8954604  1.67894901],0.0019028187222430621,-0.875493348137981,[0.19626749 0.37499974]
[0.19716228 0.37667735],[0.89478857 1.67760597],0.0019013175377074118,-0.8791069305299635,[0.19716228 0.37667735]
[0.1980564  0.37835361],[0.89411674 1.67626428],0.0018998175390913265,-0.8827148134751815,[0.1980564  0.37835361]
[0.19894984 0.38002854],[0.89344493 1.67492392],0.001898318725411122,-0.8863170059688001,[0.19894984 0.38002854]
[0.19984261 0.38170212],[0.89277313 1.6735849 ],0.0018968210956851015,-0.8899135169916124,[0.19984261 0.38170212]
[0.20073472 0.38337437],[0.89210136 1.6722472 ],0.0018953246489338675,-0.8935043555100659,[0.20073472 0.38337437]
[0.20162615 0.38504528],[0.89142963 1.67091082],0.001893829384180106,-0.8970895304762927,[0.20162615 0.38504528]
[0.2025169  0.38671486],[0.89075794 1.66957575],0.0018923353004484502,-0.9006690508281358,[0.2025169  0.38671486]
[0.20340699 0.3883831 ],[0.8900863  1.66824199],0.0018908423967657494,-0.9042429254891774,[0.20340699 0.3883831 ]
[0.2042964  0.39005001],[0.88941471 1.66690954],0.0018893506721607155,-0.9078111633687664,[0.2042964  0.39005001]
[0.20518515 0.39171559],[0.88874319 1.66557839],0.0018878601256640468,-0.9113737733620458,[0.20518515 0.39171559]
[0.20607322 0.39337984],[0.88807175 1.66424854],0.0018863707563083285,-0.9149307643499787,[0.20607322 0.39337984]
[0.20696062 0.39504276],[0.88740038 1.66291998],0.0018848825631281735,-0.9184821451993768,[0.20696062 0.39504276]
[0.20784735 0.39670435],[0.88672909 1.6615927 ],0.0018833955451597886,-0.9220279247629259,[0.20784735 0.39670435]
[0.20873341 0.39836461],[0.8860579 1.6602667],0.0018819097014414127,-0.925568111879213,[0.20873341 0.39836461]
[0.20961879 0.40002356],[0.8853868  1.65894198],0.001880425031012905,-0.9291027153727522,[0.20961879 0.40002356]
[0.21050351 0.40168118],[0.88471581 1.65761854],0.0018789415329160137,-0.9326317440540117,[0.21050351 0.40168118]
[0.21138755 0.40333747],[0.88404494 1.65629636],0.0018774592061941641,-0.936155206719439,[0.21138755 0.40333747]
[0.21227093 0.40499245],[0.88337418 1.65497544],0.0018759780498924267,-0.939673112151487,[0.21227093 0.40499245]
[0.21315363 0.4066461 ],[0.88270354 1.65365578],0.0018744980630575159,-0.9431854691186403,[0.21315363 0.4066461 ]
[0.21403567 0.40829844],[0.88203303 1.65233738],0.001873019244737846,-0.9466922863754399,[0.21403567 0.40829844]
[0.21491703 0.40994946],[0.88136266 1.65102023],0.0018715415939833968,-0.9501935726625093,[0.21491703 0.40994946]
[0.21579772 0.41159916],[0.88069243 1.64970433],0.0018700651098457637,-0.9536893367065792,[0.21579772 0.41159916]
[0.21667774 0.41324755],[0.88002234 1.64838966],0.001868589791378053,-0.9571795872205136,[0.21667774 0.41324755]
[0.2175571  0.41489463],[0.87935241 1.64707624],0.0018671156376348702,-0.9606643329033333,[0.2175571  0.41489463]
[0.21843578 0.41654039],[0.87868264 1.64576405],0.001865642647672421,-0.964143582440242,[0.21843578 0.41654039]
[0.21931379 0.41818485],[0.87801303 1.64445309],0.0018641708205483693,-0.9676173445026512,[0.21931379 0.41818485]
[0.22019113 0.41982799],[0.8773436  1.64314335],0.0018627001553217105,-0.9710856277482036,[0.22019113 0.41982799]
[0.22106781 0.42146983],[0.87667433 1.64183484],0.001861230651053054,-0.9745484408207986,[0.22106781 0.42146983]
[0.22194381 0.42311035],[0.87600525 1.64052755],0.0018597623068042867,-0.9780057923506162,[0.22194381 0.42311035]
[0.22281915 0.42474957],[0.87533635 1.63922147],0.0018582951216387258,-0.9814576909541415,[0.22281915 0.42474957]
[0.22369382 0.42638749],[0.87466765 1.6379166 ],0.0018568290946211453,-0.9849041452341886,[0.22369382 0.42638749]
[0.22456782 0.4280241 ],[0.87399913 1.63661294],0.0018553642248175489,-0.9883451637799248,[0.22456782 0.4280241 ]
[0.22544115 0.42965941],[0.87333082 1.63531048],0.0018539005112953233,-0.9917807551668941,[0.22544115 0.42965941]
[0.22631381 0.43129342],[0.87266271 1.63400923],0.0018524379531232526,-0.9952109279570424,[0.22631381 0.43129342]
[0.22718581 0.43292613],[0.87199482 1.63270917],0.0018509765493712046,-0.9986356906987384,[0.22718581 0.43292613]
[0.22805713 0.43455754],[0.87132713 1.6314103 ],0.00184951629911058,-1.0020550519268003,[0.22805713 0.43455754]
[0.22892779 0.43618766],[0.87065967 1.63011262],0.0018480572014138931,-1.0054690201625174,[0.22892779 0.43618766]
[0.22979778 0.43781647],[0.86999243 1.62881613],0.0018465992553549262,-1.0088776039136738,[0.22979778 0.43781647]
[0.23066711 0.43944399],[0.86932542 1.62752082],0.0018451424600086429,-1.0122808116745716,[0.23066711 0.43944399]
[0.23153577 0.44107022],[0.86865864 1.62622669],0.0018436868144513499,-1.0156786519260552,[0.23153577 0.44107022]
[0.23240376 0.44269515],[0.86799209 1.62493373],0.0018422323177604912,-1.0190711331355324,[0.23240376 0.44269515]
[0.23327109 0.4443188 ],[0.86732579 1.62364195],0.0018407789690145884,-1.022458263756999,[0.23327109 0.4443188 ]
[0.23413775 0.44594115],[0.86665973 1.62235134],0.0018393267672935105,-1.0258400522310613,[0.23413775 0.44594115]
[0.23500374 0.44756221],[0.86599393 1.62106189],0.0018378757116781967,-1.0292165069849584,[0.23500374 0.44756221]
[0.23586907 0.44918198],[0.86532837 1.61977361],0.0018364258012506796,-1.0325876364325859,[0.23586907 0.44918198]
[0.23673373 0.45080047],[0.86466307 1.61848648],0.001834977035094248,-1.0359534489745175,[0.23673373 0.45080047]
[0.23759773 0.45241767],[0.86399803 1.61720051],0.0018335294122931516,-1.039313952998028,[0.23759773 0.45241767]
[0.23846106 0.45403359],[0.86333326 1.6159157 ],0.00183208293193285,-1.0426691568771156,[0.23846106 0.45403359]
[0.23932373 0.45564822],[0.86266875 1.61463204],0.0018306375930998771,-1.0460190689725255,[0.23932373 0.45564822]
[0.24018574 0.45726157],[0.86200452 1.61334952],0.0018291933948818427,-1.04936369763177,[0.24018574 0.45726157]
[0.24104708 0.45887363],[0.86134056 1.61206815],0.0018277503363673833,-1.0527030511891529,[0.24104708 0.45887363]
[0.24190775 0.46048442],[0.86067689 1.61078792],0.0018263084166462737,-1.05603713796579,[0.24190775 0.46048442]
[0.24276777 0.46209393],[0.86001349 1.60950883],0.0018248676348092561,-1.059365966269632,[0.24276777 0.46209393]
[0.24362712 0.46370216],[0.85935038 1.60823088],0.001823427989948151,-1.062689544395487,[0.24362712 0.46370216]
